Rad	fahren	0			3433
Auto	fahren	0			2338
Ski	fahren	0			1775
Teil	nehmen	0			848
Bogen	schießen	0			812
Fahrrad	fahren	0			798
Kaffee	trinken	0			767
Motorrad	fahren	0			553
Kreuz	heben	0			481
Wind	surfen	0			477
Geld	verdienen	0			459
Zeit	fahren	0			444
Blut	vergießen	0			435
Musik	hören	0			398
Wasser	lassen	0			380
Gas	geben	0			327
Zucker	schlecken	0			324
Western	reiten	0			315
Pony	reiten	0			274
Eis	laufen	0			264
Abschied	nehmen	0			259
Ski	springen	0			253
Kopf	nicken	0			251
Kanu	fahren	0			245
Fallschirm	springen	0			237
Gewicht	heben	0			219
Hand	auflegen	0			210
Rasen	mähen	0			200
Musik	machen	0			187
Gold	waschen	0			180
Probe	hören	0			163
Bus	fahren	0			160
Vogel	schießen	0			157
Bahn	fahren	0			157
Luft	holen	0			151
Preis	schießen	0			146
Penalty	schießen	0			139
Seil	springen	0			138
Probe	fahren	0			133
Boot	fahren	0			133
Schulter	klopfen	0			131
Dressur	reiten	0			131
Kopf	rechnen	0			129
Tee	trinken	0			127
Koma	saufen	0			124
Bier	trinken	0			121
Ballon	fahren	0			116
Wäsche	waschen	0			114
Zug	fahren	0			113
Schlitten	fahren	0			111
Geld	ausgeben	0			110
Sport	schießen	0			96
Geld	abheben	0			96
Pokal	schießen	0			92
Internet	surfen	0			91
Taxi	fahren	0			90
Wasser	treten	0			86
Ei	erlegen	0			86
Fett	absaugen	0			85
Atem	holen	0			85
Enduro	fahren	0			83
Blut	abnehmen	0			82
Schlange	stehen	0			79
Schi	fahren	0			77
Trampolin	springen	0			75
Teil	haben	0			72
Kajak	fahren	0			72
Radio	hören	0			71
Kaffee	kochen	0			69
Blei	gießen	0			69
Feuer	machen	0			68
Gas	wegnehmen	0			66
Auto	waschen	0			66
Moped	fahren	0			65
Wasser	trinken	0			64
Stil	springen	0			64
Raub	kopieren	0			63
Essen	gehen	0			62
Mut	machen	0			61
Para	gleiten	0			60
Distanz	reiten	0			59
Roller	fahren	0			58
Velo	fahren	0			57
Hindernis	fahren	0			57
Sport	tauchen	0			55
Sauna	baden	0			55
Topf	schlagen	0			52
Feuer	verzinken	0			52
Akt	zeichnen	0			51
Text	verstehen	0			50
Pulver	beschichten	0			49
Gau	schießen	0			49
Ei	singen	0			49
Tabak	rauchen	0			48
Fußball	gucken	0			48
Einrad	fahren	0			48
Wasser	holen	0			47
Probe	wohnen	0			47
